attendance_id,employee_id,attendance_date,status
1,6,2025-04-29,Present
2,95,2025-02-24,Absent
3,89,2025-05-31,Present
4,13,2025-05-28,Absent
5,30,2025-03-14,Present
6,81,2025-02-17,Present
7,31,2025-01-03,Absent
8,51,2025-05-28,Present
9,42,2025-01-05,Absent
10,25,2025-03-30,Absent
11,71,2025-05-11,Present
12,47,2025-04-27,Present
13,86,2025-03-11,Present
14,82,2025-02-28,Present
15,21,2025-06-11,Absent
16,70,2025-03-20,Absent
17,3,2025-04-09,Present
18,65,2025-01-02,Present
19,46,2025-01-15,Absent
20,87,2025-05-27,Absent
21,8,2025-06-09,Present
22,43,2025-05-20,Present
23,68,2025-01-03,Present
24,12,2025-02-18,Absent
25,93,2025-05-10,Present
26,31,2025-03-21,Absent
27,13,2025-03-10,Present
28,86,2025-03-24,Absent
29,4,2025-05-02,Present
30,68,2025-06-15,Absent
31,73,2025-06-04,Present
32,85,2025-06-08,Present
33,38,2025-05-08,Absent
34,20,2025-02-11,Present
35,5,2025-01-22,Present
36,76,2025-01-19,Present
37,82,2025-01-05,Absent
38,26,2025-04-11,Absent
39,21,2025-05-25,Absent
40,80,2025-04-20,Present
41,33,2025-01-15,Absent
42,59,2025-04-27,Absent
43,36,2025-03-27,Absent
44,56,2025-02-06,Present
45,5,2025-06-03,Present
46,74,2025-06-16,Absent
47,10,2025-04-23,Present
48,32,2025-04-05,Absent
49,57,2025-01-19,Present
50,63,2025-03-25,Present
51,95,2025-06-19,Absent
52,75,2025-03-15,Absent
53,18,2025-05-18,Absent
54,34,2025-01-24,Present
55,40,2025-06-24,Present
56,64,2025-01-14,Absent
57,97,2025-01-11,Absent
58,8,2025-01-07,Present
59,81,2025-02-26,Absent
60,94,2025-02-11,Present
61,98,2025-02-14,Absent
62,64,2025-04-01,Present
63,44,2025-03-13,Present
64,68,2025-01-01,Present
65,25,2025-04-12,Absent
66,54,2025-01-24,Absent
67,50,2025-03-31,Present
