leave_id,employee_id,leave_date,leave_days,reason,status
1,28,2025-05-12,2,Personal Leave,Approved
2,35,2025-04-10,4,Personal Leave,Approved
3,44,2025-06-16,3,Personal Leave,Pending
4,77,2025-01-11,3,Personal Leave,Rejected
5,1,2025-06-30,3,Personal Leave,Rejected
6,62,2025-03-16,1,Personal Leave,Approved
7,51,2025-04-17,3,Personal Leave,Rejected
8,94,2025-03-17,4,Personal Leave,Pending
9,99,2025-04-24,1,Personal Leave,Rejected
10,39,2025-04-25,1,Personal Leave,Rejected
11,59,2025-02-08,2,Personal Leave,Rejected
12,63,2025-04-14,1,Personal Leave,Approved
13,11,2025-02-11,1,Personal Leave,Rejected
14,66,2025-04-08,5,Personal Leave,Rejected
15,17,2025-03-05,4,Personal Leave,Pending
16,31,2025-05-18,3,Personal Leave,Rejected
17,75,2025-03-09,4,Personal Leave,Approved
18,24,2025-06-13,5,Personal Leave,Approved
19,38,2025-02-13,3,Personal Leave,Pending
20,33,2025-04-15,4,Personal Leave,Rejected
21,45,2025-05-10,1,Personal Leave,Pending
22,4,2025-05-15,5,Personal Leave,Pending
23,67,2025-02-04,4,Personal Leave,Pending
24,28,2025-05-29,4,Personal Leave,Approved
25,83,2025-03-16,3,Personal Leave,Approved
26,48,2025-03-09,5,Personal Leave,Approved
27,59,2025-01-22,2,Personal Leave,Pending
28,20,2025-06-05,5,Personal Leave,Rejected
29,95,2025-03-10,3,Personal Leave,Rejected
30,24,2025-03-13,4,Personal Leave,Rejected
31,86,2025-02-07,4,Personal Leave,Approved
32,18,2025-04-22,5,Personal Leave,Rejected
33,100,2025-04-21,5,Personal Leave,Pending
34,8,2025-01-17,5,Personal Leave,Pending
35,55,2025-06-14,5,Personal Leave,Approved
36,59,2025-04-01,1,Personal Leave,Approved
37,93,2025-01-31,5,Personal Leave,Pending
38,45,2025-05-27,2,Personal Leave,Rejected
39,15,2025-01-07,1,Personal Leave,Approved
40,72,2025-03-19,1,Personal Leave,Approved
41,96,2025-06-10,4,Personal Leave,Rejected
42,71,2025-05-04,5,Personal Leave,Approved
43,72,2025-03-16,3,Personal Leave,Approved
44,30,2025-02-09,5,Personal Leave,Rejected
45,98,2025-06-20,4,Personal Leave,Rejected
46,73,2025-02-27,2,Personal Leave,Pending
47,16,2025-04-06,1,Personal Leave,Rejected
48,57,2025-03-12,5,Personal Leave,Rejected
49,9,2025-01-30,4,Personal Leave,Approved
50,62,2025-01-30,4,Personal Leave,Pending
