payroll_id,employee_id,basic_salary,bonus,deduction,net_salary
1,1,83631,8032,949,90714
2,2,51410,6538,3050,54898
3,3,73188,6285,3572,75901
4,4,71058,8201,2774,76485
5,5,36554,2594,3897,35251
6,6,57529,9461,3910,63080
7,7,64016,6329,3407,66938
8,8,73723,7342,3260,77805
9,9,68908,1596,2513,67991
10,10,59636,2922,4605,57953
11,11,39147,1397,2054,38490
12,12,65104,5676,4076,66704
13,13,33633,8939,4123,38449
14,14,73544,5961,1545,77960
15,15,83458,2121,4315,81264
16,16,81706,4453,2787,83372
17,17,60434,4712,2218,62928
18,18,85541,8956,4814,89683
19,19,70732,2281,920,72093
20,20,51535,5211,4274,52472
21,21,53560,6813,3838,56535
22,22,72723,8545,1108,80160
23,23,53646,9354,4110,58890
24,24,73586,3392,718,76260
25,25,84005,4030,1139,86896
26,26,31125,8503,4528,35100
27,27,84824,8493,555,92762
28,28,85684,4239,2832,87091
29,29,64861,6698,1957,69602
30,30,33669,6801,4670,35800
31,31,41035,6211,2934,44312
32,32,66040,5437,2511,68966
33,33,62644,8363,631,70376
34,34,75590,3741,4373,74958
35,35,54118,2914,4859,52173
36,36,80888,4830,2385,83333
37,37,56255,1804,1443,56616
38,38,77127,5576,4628,78075
39,39,59507,1324,2521,58310
40,40,51230,6599,3140,54689
41,41,89358,1502,1054,89806
42,42,55429,9280,2557,62152
43,43,82425,7326,2623,87128
44,44,73012,9987,2041,80958
45,45,76681,2944,2232,77393
46,46,75213,7078,3717,78574
47,47,38867,7726,4519,42074
48,48,30775,2896,2196,31475
49,49,47203,6433,3255,50381
50,50,37633,1587,2347,36873
51,51,63319,8784,1616,70487
52,52,78118,5943,3669,80392
53,53,58656,3144,4782,57018
54,54,84036,8400,4561,87875
55,55,43401,1014,1545,42870
56,56,46739,6110,4195,48654
57,57,53078,4721,4733,53066
58,58,42019,9553,1689,49883
59,59,88469,3700,4565,87604
60,60,54295,7027,4745,56577
61,61,45021,7250,2957,49314
62,62,67451,3802,3961,67292
63,63,67154,6005,4140,69019
64,64,86706,6367,1065,92008
65,65,47211,3966,4502,46675
66,66,46890,9000,4646,51244
67,67,43144,6087,1968,47263
68,68,74136,4968,2342,76762
69,69,75468,1687,911,76244
70,70,89597,6125,2015,93707
71,71,35608,9423,3439,41592
72,72,56233,8427,4574,60086
73,73,50611,3948,4118,50441
74,74,43146,4831,3500,44477
75,75,33061,6484,4271,35274
76,76,60061,2255,2059,60257
77,77,62664,9930,3567,69027
78,78,51080,7786,3698,55168
79,79,76571,4865,2934,78502
80,80,70410,1504,4733,67181
81,81,40978,1654,4765,37867
82,82,39915,5291,4066,41140
83,83,58702,5849,633,63918
84,84,45185,3789,639,48335
85,85,78241,1797,952,79086
86,86,36271,4170,3614,36827
87,87,70326,4545,4641,70230
88,88,74326,7079,1116,80289
89,89,56917,4169,515,60571
90,90,67567,1702,4103,65166
91,91,32857,4162,3515,33504
92,92,54135,2581,2665,54051
93,93,31468,7936,1512,37892
94,94,31907,7560,1983,37484
95,95,43748,8405,2810,49343
96,96,35380,5084,4114,36350
97,97,85507,7702,3864,89345
98,98,61594,2220,796,63018
99,99,30047,8012,3332,34727
100,100,39778,4466,1654,42590
