project_id,project_name,project_budget,start_date,end_date,status
1,Project 1,375873.83,2025-01-06,2025-05-06,Completed
2,Project 2,474780.99,2025-01-11,2025-05-11,Pending
3,Project 3,402391.36,2025-01-16,2025-05-16,Active
4,Project 4,184686.7,2025-01-21,2025-05-21,Completed
5,Project 5,360115.73,2025-01-26,2025-05-26,Active
6,Project 6,116820.0,2025-01-31,2025-05-31,Active
7,Project 7,367577.64,2025-02-05,2025-06-05,Pending
8,Project 8,162583.62,2025-02-10,2025-06-10,Pending
9,Project 9,220525.22,2025-02-15,2025-06-15,Pending
10,Project 10,425614.28,2025-02-20,2025-06-20,Pending
11,Project 11,411589.15,2025-02-25,2025-06-25,Active
12,Project 12,106742.43,2025-03-02,2025-06-30,Completed
13,Project 13,318547.51,2025-03-07,2025-07-05,Completed
14,Project 14,493885.89,2025-03-12,2025-07-10,Pending
15,Project 15,55458.77,2025-03-17,2025-07-15,Pending
16,Project 16,426385.85,2025-03-22,2025-07-20,Active
17,Project 17,404064.68,2025-03-27,2025-07-25,Completed
18,Project 18,115323.56,2025-04-01,2025-07-30,Pending
19,Project 19,374425.59,2025-04-06,2025-08-04,Active
20,Project 20,179692.22,2025-04-11,2025-08-09,Completed
